LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
38.1523,143.4406,85.7805,-22.0726,25,20,12.8652,33.4712,74.0074,194,10.21
37.9344,143.3691,79.5506,-46.2839,25,20,12.8652,30.5016,75.0382,194,10.21
37.7165,143.2976,73.3207,-70.4952,25,20,12.8652,27.771,73.0727,194,10.21
37.4986,143.2261,67.0908,-94.7065,25,20,12.8652,16.941,68.326,194,10.21
37.2807,143.1546,60.8609,-118.9179,25,20,12.8652,9.1657,59.5456,194,10.21
37.0628,143.0831,54.6309,-143.1292,25,20,12.8652,8.6916,60.9659,194,10.21
36.845,143.0116,48.401,-167.3405,25,20,12.8652,6.2061,101.0403,194,10.21
36.6271,142.9401,42.1711,-191.5518,25,20,12.8652,2.9703,109.2358,194,10.21
36.4092,142.8686,35.9412,-215.7631,25,20,12.8652,0.5855,73.7162,194,10.21
36.1913,142.7972,29.7113,-239.9745,25,20,12.8652,0.4772,129.0912,194,10.21
35.9734,142.7257,23.4813,-264.1858,25,20,12.8652,1.4985,93.5975,194,10.21
35.7555,142.6542,17.2514,-288.3971,25,20,12.8652,1.1577,119.6683,194,10.21
35.5376,142.5827,11.0215,-312.6084,25,20,12.8652,1.2003,53.9396,194,10.21
35.3198,142.5112,4.7916,-336.8197,25,20,12.8652,3.2436,79.9294,194,10.21
40.5931,144.0082,135.2473,249.157,25,20,16.4103,2.4153,83.1845,194,10.21
40.3752,143.9367,129.0174,224.9457,25,20,16.4103,0.4069,60.5355,194,10.21
40.1574,143.8652,122.7875,200.7343,25,20,16.4103,3.7141,79.418,194,10.21
39.9395,143.7938,116.5576,176.523,25,20,16.4103,2.1588,106.9841,194,10.21
39.7216,143.7223,110.3276,152.3117,25,20,16.4103,1.7758,127.907,194,10.21
39.5037,143.6508,104.0977,128.1004,25,20,16.4103,0.0995,111.6808,194,10.21
39.2858,143.5793,97.8678,103.8891,25,20,16.4103,7.3401,125.9216,194,10.21
39.0679,143.5078,91.6379,79.6777,25,20,16.4103,14.5334,128.6017,194,10.21
38.8501,143.4363,85.408,55.4664,25,20,16.4103,20.5899,123.1517,194,10.21
38.6322,143.3648,79.178,31.2551,25,20,16.4103,21.5316,97.6589,194,10.21
38.4143,143.2933,72.9481,7.0438,25,20,16.4103,21.2781,81.8681,194,10.21
38.1964,143.2218,66.7182,-17.1676,25,20,16.4103,22.3906,69.3084,194,10.21
37.9785,143.1503,60.4883,-41.3789,25,20,16.4103,19.9505,76.2728,194,10.21
37.7606,143.0788,54.2584,-65.5902,25,20,16.4103,19.3832,61.446,194,10.21
