LAT,LON,X,Y,D,SLIP,RAKE,STRIKE,DIP,L,W,Subfault,0 min,0.5 min,1.0 min,1.5 min,2.0 min,2.5 min,3.0 min,3.5 min,4.0 min,4.5 min,5.0 min,Total
39.1816,143.5734,62.2932,119.804,7,6.653200 ,81,193,10,50,50,2C,0.000000 ,0.000000 ,0.822612 ,2.066059 ,0.841669 ,0.000000 ,0.974289 ,1.948571 ,0.000000 ,0.000000 ,0.000000 ,6.653200 
38.7432,143.4448,51.0457,71.0855,7,16.896310 ,81,193,10,50,50,2D,0.000000 ,0.186819 ,1.139245 ,1.711290 ,4.241913 ,4.995214 ,4.621830 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,16.896310 
38.3048,143.3161,39.7981,22.3669,7,26.552030 ,81,193,10,50,50,2E,0.000000 ,0.000000 ,0.000000 ,14.146870 ,0.000000 ,12.405160 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,26.552030 
37.8664,143.1875,28.5506,-26.3516,7,24.673670 ,81,193,10,50,50,2F,0.000000 ,2.845838 ,8.207901 ,0.000000 ,11.961560 ,1.658369 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,24.673670 
37.4279,143.0589,17.303,-75.0701,7,18.059000 ,81,193,10,50,50,2G,0.000000 ,0.311397 ,2.965823 ,7.044190 ,0.000000 ,1.289594 ,6.447996 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,18.059000 
37.0162,142.7881,-6.375,-120.8223,7,4.828525 ,81,193,10,50,50,2H,0.000000 ,0.000000 ,1.609510 ,3.219016 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,4.828525 
36.6112,142.4614,-34.9439,-165.8254,7,0.000000 ,81,193,10,50,50,2I,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
36.2063,142.1345,-63.5278,-210.8174,7,0.606020 ,81,193,10,50,50,2J,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.404013 ,0.202007 ,0.000000 ,0.606020 
35.7863,141.9018,-83.8768,-257.4873,7,2.349106 ,81,193,10,50,50,2K,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.957590 ,0.391516 ,2.349106 
40.1791,143.1436,24.7072,230.6396,15.6,0.651519 ,81,193,12,50,50,3A,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.434345 ,0.217173 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.651519 
39.72,143.1468,24.9868,179.6278,15.6,1.059073 ,81,193,12,50,50,3B,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.529537 ,0.529537 ,0.000000 ,0.000000 ,1.059073 
39.2816,143.0181,13.7392,130.9093,15.6,0.000000 ,81,193,12,50,50,3C,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 
38.8432,142.8895,2.4917,82.1908,15.6,13.143560 ,81,193,12,50,50,3D,0.000000 ,0.000000 ,0.000000 ,0.000000 ,1.438300 ,7.943818 ,3.761442 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,13.143560 
38.4047,142.7609,-8.7559,33.4722,15.6,15.548420 ,81,193,12,50,50,3E,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,15.548420 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,15.548420 
37.9663,142.6322,-20.0034,-15.2463,15.6,21.579360 ,81,193,12,50,50,3F,0.000000 ,0.000000 ,0.000000 ,0.000000 ,10.761490 ,10.817870 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,21.579360 
37.5279,142.5036,-31.251,-63.9648,15.6,10.871860 ,81,193,12,50,50,3G,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.262313 ,2.861226 ,7.748321 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,10.871860 
37.1162,142.2442,-53.9312,-109.7059,15.6,10.525150 ,81,193,12,50,50,3H,0.000000 ,0.000000 ,3.508386 ,7.016764 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,10.525150 
36.7112,141.9204,-82.2463,-154.709,15.6,2.122180 ,81,193,12,50,50,3I,0.000000 ,0.000000 ,0.000000 ,0.778131 ,1.344049 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,2.122180 
