   1.00000,   1.63034,   0.00915
   2.00000,   1.67463,   0.00833
   3.00000,   1.60977,   0.00814
   6.00000,   2.30558,   0.01072
   7.00000,   2.05302,   0.00997
  22.00000,   2.14999,   0.01097
  23.00000,   2.05247,   0.01065
  24.00000,   2.04529,   0.01070
  25.00000,   1.90796,   0.01103
  39.00000,   0.96541,   0.00659
  41.00000,   0.86903,   0.00554
  43.00000,   0.80570,   0.00443
  47.00000,   0.89980,   0.00531
  52.00000,   1.04764,   0.00450
  54.00000,   1.34406,   0.00356
  59.00000,   1.07386,   0.00435
  71.00000,   1.31523,   0.00641
  76.00000,   0.72081,   0.00451
  85.00000,   0.84326,   0.00504
 101.00000,   1.82528,   0.01068
 102.00000,   1.61955,   0.00941
 103.00000,   1.29247,   0.00825
 105.00000,   1.65589,   0.01017
 106.00000,   1.70004,   0.00981
 107.00000,   1.63803,   0.00939
 108.00000,   1.40282,   0.00849
 109.00000,   1.93713,   0.01060
 111.00000,   1.06499,   0.00758
 115.00000,   1.42993,   0.00741
 116.00000,   1.07802,   0.00646
 119.00000,   3.56115,   0.02566
 120.00000,   3.91514,   0.02564
 121.00000,   3.84309,   0.02568
 122.00000,   3.39801,   0.02498
 125.00000,   4.22058,   0.02613
 126.00000,   4.24462,   0.02583
 127.00000,   4.08300,   0.02303
 128.00000,   1.69849,   0.01064
 129.00000,   1.01843,   0.00887
 130.00000,   2.45757,   0.01150
 131.00000,   0.92215,   0.00627
 132.00000,   1.23109,   0.01087
 133.00000,   3.17293,   0.01888
 134.00000,   2.35107,   0.01562
 135.00000,   2.57581,   0.01398
 136.00000,   2.91949,   0.01293
 137.00000,   4.14381,   0.02619
 138.00000,   3.19239,   0.02173
 139.00000,   2.43369,   0.01810
 140.00000,   2.39607,   0.01543
 141.00000,   4.33157,   0.03134
 142.00000,   4.51124,   0.03022
 143.00000,   4.24939,   0.03389
 144.00000,   4.13886,   0.03365
 145.00000,   2.94189,   0.01422
 146.00000,   0.85113,   0.00817
 147.00000,   2.52060,   0.01241
 148.00000,   0.80144,   0.00667
 149.00000,   2.19929,   0.01067
 150.00000,   2.02302,   0.01079
 151.00000,   1.75816,   0.00975
 152.00000,   1.72428,   0.01060
 153.00000,   1.50174,   0.01016
 154.00000,   1.60365,   0.01070
 155.00000,   1.07229,   0.00924
 156.00000,   1.49276,   0.00984
 157.00000,   1.40375,   0.00875
 158.00000,   2.66513,   0.01728
 159.00000,   1.31475,   0.00880
 160.00000,   2.44187,   0.01543
 161.00000,   1.25619,   0.00857
 162.00000,   2.58629,   0.01312
 163.00000,   1.28963,   0.00830
 164.00000,   3.30617,   0.01880
 165.00000,   2.75027,   0.01785
 166.00000,   2.39554,   0.01628
 167.00000,   1.34001,   0.00860
 168.00000,   1.19886,   0.00923
 169.00000,   1.18064,   0.00747
 170.00000,   0.92740,   0.00629
 171.00000,   2.72845,   0.01351
 172.00000,   1.16357,   0.00655
 173.00000,   2.62004,   0.01127
 175.00000,   2.21005,   0.01089
 176.00000,   1.87629,   0.01053
 177.00000,   2.27111,   0.01521
 178.00000,   2.76831,   0.01360
 180.00000,   2.92007,   0.01209
 182.00000,   2.35306,   0.01147
 183.00000,   1.22093,   0.00739
 184.00000,   3.87634,   0.02156
 185.00000,   3.59082,   0.02035
 186.00000,   3.10669,   0.01826
 187.00000,   3.14335,   0.01839
 188.00000,   3.34728,   0.01924
 189.00000,   3.56654,   0.01937
 190.00000,   3.30034,   0.01955
 191.00000,   0.89291,   0.01016
 192.00000,   1.38816,   0.00743
 193.00000,   2.88386,   0.01973
 194.00000,   2.40425,   0.01809
 195.00000,   1.83162,   0.01518
 196.00000,   1.19437,   0.01246
 197.00000,   2.40092,   0.01440
 198.00000,   2.06212,   0.01050
 199.00000,   2.10919,   0.01438
 200.00000,   1.99466,   0.00869
 201.00000,   1.75702,   0.01321
 202.00000,   1.87558,   0.00801
 203.00000,   1.27957,   0.01111
 204.00000,   2.36093,   0.01433
 205.00000,   2.50056,   0.01383
 206.00000,   2.34242,   0.01241
 207.00000,   2.74724,   0.01486
 208.00000,   2.09474,   0.01035
 209.00000,   2.75900,   0.01442
 210.00000,   2.01732,   0.01063
 211.00000,   2.14124,   0.01136
 212.00000,   0.79876,   0.00881
 213.00000,   0.79056,   0.00846
 214.00000,   1.84387,   0.00925
 215.00000,   2.05512,   0.01673
 216.00000,   1.39384,   0.00889
 217.00000,   2.67706,   0.01499
 218.00000,   1.18493,   0.00886
 219.00000,   2.29284,   0.01318
 220.00000,   4.34587,   0.03235
 221.00000,   3.76501,   0.02816
 222.00000,   2.97763,   0.02450
 223.00000,   2.49176,   0.02065
 224.00000,   3.93194,   0.03125
 225.00000,   3.92593,   0.03094
 226.00000,   3.45987,   0.02819
 227.00000,   2.99421,   0.02494
 228.00000,   3.99048,   0.03141
 229.00000,   4.36486,   0.02485
 230.00000,   2.45232,   0.02080
 231.00000,   1.68785,   0.01673
 232.00000,   1.93111,   0.01406
 233.00000,   1.73402,   0.01271
 234.00000,   2.84363,   0.02219
 235.00000,   2.22014,   0.01883
 236.00000,   1.50820,   0.01521
 237.00000,   1.13623,   0.01247
 238.00000,   6.53183,   0.13369
 239.00000,   6.55384,   0.13261
 240.00000,   6.02098,   0.11455
 241.00000,   4.89031,   0.09315
 242.00000,   2.71910,   0.02146
 243.00000,   2.68803,   0.01899
 244.00000,   7.10244,   0.12684
 245.00000,   6.60386,   0.13183
 246.00000,   6.40169,   0.12310
 247.00000,   3.12879,   0.04002
 248.00000,   3.32434,   0.03837
