str,dip,dep,pid,lat,lon,rak
194.62158,8.84258,-19.61624,"102",37.480,142.904,"90"
195.47614,10.16730,-23.18052,"103",37.480,142.654,"90"
196.29845,11.50725,-27.24108,"104",37.480,142.404,"90"
190.62329,6.99047,-14.52523,"105",37.730,143.404,"90"
191.61717,8.06462,-17.36494,"106",37.730,143.154,"90"
192.43843,9.35848,-20.65378,"107",37.730,142.904,"90"
193.27550,10.73309,-24.44891,"108",37.730,142.654,"90"
189.32928,6.16461,-12.03462,"109",37.730,143.654,"90"
187.47670,5.54172,-10.20760,"110",37.980,143.904,"90"
194.16061,12.10688,-28.76287,"111",37.730,142.404,"90"
195.05258,13.44949,-33.58776,"112",37.730,142.154,"90"
195.90085,14.76125,-38.91112,"113",37.730,141.904,"90"
196.66660,16.06686,-44.72728,"114",37.730,141.654,"90"
191.58702,11.29414,-25.60862,"115",37.980,142.654,"90"
192.46379,12.71928,-30.16660,"116",37.980,142.404,"90"
193.40614,14.09737,-35.25780,"117",37.980,142.154,"90"
194.35144,15.43310,-40.86354,"118",37.980,141.904,"90"
