Site,Event,G,Rsquared,MSE,L2Norm
Sendai,FUJI2011_42,0.068,0.759,1.395,80.902
Sendai,SANRIKU1896,0.506,0.251,0.02,5.292
Sendai,SANRIKU1933,0.325,0.431,0.1,13.566
Sendai,TOKACHI1968,0.312,0.441,0.022,6.322
Sendai,YAMAZAKI2018_TPMOD,0.144,0.507,1.724,61.162
