Site,Event,G,Rsquared,MSE,L2Norm
Rikuzentakata,FUJI2011_42,0.106,0.18,10.196,125.919
Rikuzentakata,SANRIKU1896,0.17,0.508,0.246,22.612
Rikuzentakata,SANRIKU1933,0.2,0.419,0.717,35.587
Rikuzentakata,TOKACHI1968,0.046,0.895,0.201,44.266
Rikuzentakata,YAMAZAKI2018_TPMOD,0.058,0.566,4.044,106.158
