Site,Event,Depth,Accuracy,TPR,FPR,F1,G
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.15601023017902813,0.0961472894647119,0.11897294026108758,0.418
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5572815533980583,0.09915735841661767,0.16835859585624677,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8076211616722161,0.02002534854245881,0.03908164911746363,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.00210589651022864,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10972807353504405,0.19757694931930858,0.654
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.057291666666666664,0.04910161090458488,0.05288140734000606,0.541
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.1585677749360614,0.09870439822707126,0.12167143154922798,0.412
Rikuzentakata,FUJI2011_42,5m-10m,0.815,0.5553398058252427,0.10582010582010581,0.17776672778692854,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.907,0.7972623011468738,0.017743979721166033,0.03471533026453036,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.911,0.9922861150070126,0.11164304864036767,0.2007046297008158,0.673
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.04801734820322181,0.052246123674695104,0.548
Rikuzentakata,FUJI2011_42,2m-5m,0.814,0.1547314578005115,0.09785202863961814,0.11988738657096944,0.417
Rikuzentakata,FUJI2011_42,5m-10m,0.817,0.5540453074433657,0.102880658436214,0.1735371989960792,0.057
Rikuzentakata,FUJI2011_42,10m-15m,0.908,0.802441731409545,0.019011406844106463,0.037142827786739545,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10934507851397932,0.19695586390806125,0.666
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.052083333333333336,0.04894671623296159,0.050466334483199184,0.55
Rikuzentakata,FUJI2011_42,2m-5m,0.816,0.16240409207161124,0.09717013296965564,0.12159009407737491,0.41
Rikuzentakata,FUJI2011_42,5m-10m,0.821,0.5566343042071198,0.09915735841661767,0.16832902994961657,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.911,0.8091009988901221,0.01977186311787072,0.038600453535981974,0.009
Rikuzentakata,FUJI2011_42,15m+,0.998,,0.0015042117930204573,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.913,0.9901823281907434,0.10800459594025277,0.19476509857016522,0.658
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.057291666666666664,0.04910161090458488,0.05288140734000606,0.532
Rikuzentakata,FUJI2011_42,2m-5m,0.817,0.170076726342711,0.0968291851346744,0.12340221863938045,0.4
