Site,Event,G,Rsquared,MSE,L2Norm
Ishinomaki,FUJI2011_42,0.099,0.562,1.727,83.648
Ishinomaki,SANRIKU1896,0.433,0.378,0.012,4.404
Ishinomaki,SANRIKU1933,0.145,0.777,0.037,13.236
Ishinomaki,TOKACHI1968,0.173,0.672,0.012,6.189
Ishinomaki,YAMAZAKI2018_TPMOD,0.066,0.836,0.533,60.553
